group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
C. Capela - B. Bogdanovic - D. Wright - J. Collins - C. Reddish,ATL,1,0,1,0.0,24.0,15.0,45.0,0.333,5.0,17.0,0.294,6.0,11.0,0.545,6.0,17.0,23.0,12.0,5.0,5.0,3.0,4.0,6.0,8.0,41.0,-16.0,123,204,119,204,1,2,1,212,1,1,157,3,1,171,2,2,2,1,342,1,1,346,345,2,2,346
C. Capela - B. Bogdanovic - T. Young - C. Reddish - C. Brown Jr.,ATL,1,0,1,0.0,19.1,16.0,39.0,0.41,5.0,13.0,0.385,5.0,5.0,1.0,6.0,18.0,24.0,8.0,6.0,2.0,3.0,3.0,4.0,5.0,42.0,-6.0,123,204,119,204,2,1,2,183,1,2,121,8,19,1,2,1,1,4,345,5,1,343,324,9,1,328
C. Capela - B. Bogdanovic - J. Collins - T. Young - D. Hunter,ATL,14,5,9,0.357,16.0,15.0,29.9,0.502,3.6,8.6,0.425,4.5,6.2,0.724,3.6,11.5,15.1,8.6,4.1,2.0,1.2,1.5,5.8,6.6,38.1,1.0,1,7,346,180,3,2,3,105,7,10,109,13,7,150,9,6,5,2,339,5,18,332,344,4,3,99
C. Capela - T. Luwawu-Cabarrot - J. Collins - K. Huerter - T. Young,ATL,10,3,7,0.3,15.1,13.8,29.6,0.466,4.6,11.4,0.404,5.5,7.0,0.786,4.8,12.1,16.9,8.4,4.2,2.0,2.0,2.1,5.7,5.4,37.7,3.1,7,25,343,195,4,4,4,156,6,3,112,7,5,136,4,5,4,3,340,5,5,342,343,8,5,44
L. Williams - D. Gallinari - B. Bogdanovic - K. Huerter - O. Okongwu,ATL,1,0,1,0.0,14.9,12.0,25.0,0.48,5.0,11.0,0.455,9.0,11.0,0.818,2.0,13.0,15.0,7.0,2.0,0.0,2.0,1.0,4.0,7.0,38.0,2.0,123,204,119,204,5,7,6,149,1,4,99,1,1,128,20,3,6,8,300,137,5,293,324,3,4,73
C. Capela - B. Bogdanovic - T. Luwawu-Cabarrot - J. Collins - T. Young,ATL,1,0,1,0.0,14.8,12.0,28.0,0.429,3.0,11.0,0.273,5.0,10.0,0.5,7.0,13.0,20.0,7.0,6.0,2.0,0.0,1.0,5.0,11.0,32.0,-6.0,123,204,119,204,6,7,5,174,11,4,162,8,3,172,1,3,3,8,345,5,109,293,338,1,7,328
C. Capela - J. Collins - K. Huerter - T. Young - D. Hunter,ATL,13,8,5,0.615,12.4,12.5,24.1,0.518,2.6,7.6,0.343,3.5,5.5,0.648,2.7,9.1,11.8,7.6,3.7,1.9,1.2,1.2,5.4,5.5,31.1,0.2,3,3,334,136,7,6,7,103,25,15,130,28,18,166,13,11,11,5,335,20,17,330,341,7,9,136
C. Capela - B. Bogdanovic - J. Collins - K. Huerter - T. Young,ATL,13,10,3,0.769,12.0,12.6,23.2,0.543,3.3,8.8,0.374,3.0,4.0,0.75,2.5,9.6,12.2,7.5,2.6,1.7,1.1,1.2,4.4,4.1,31.5,7.7,3,1,313,124,9,5,8,97,9,9,126,32,24,141,14,10,9,6,329,21,20,330,336,16,8,11
S. Hill - C. Capela - J. Collins - K. Huerter - T. Young,ATL,2,0,2,0.0,12.0,11.5,21.5,0.535,5.0,10.0,0.5,4.5,6.0,0.75,2.0,8.5,10.5,7.5,2.5,1.0,2.0,0.5,5.5,5.5,32.5,3.0,76,204,275,204,8,9,10,101,1,6,54,13,8,141,20,13,14,7,325,36,5,269,342,6,6,45
D. Gallinari - C. Capela - D. Wright - T. Luwawu-Cabarrot - C. Reddish,ATL,1,1,0,1.0,11.5,10.0,23.0,0.435,2.0,7.0,0.286,4.0,6.0,0.667,4.0,7.0,11.0,5.0,2.0,2.0,1.0,0.0,3.0,3.0,26.0,-3.0,123,61,1,1,10,11,9,172,29,16,158,17,8,152,5,16,12,15,300,5,21,1,305,27,11,276
G. Dieng - J. Collins - K. Huerter - T. Young - D. Hunter,ATL,1,0,1,0.0,10.5,8.0,17.0,0.471,2.0,9.0,0.222,2.0,3.0,0.667,0.0,7.0,7.0,6.0,2.0,2.0,3.0,0.0,5.0,4.0,20.0,-1.0,123,204,119,204,11,15,19,153,29,7,176,56,47,152,148,16,24,11,300,5,1,1,338,17,18,192
L. Williams - D. Gallinari - B. Bogdanovic - D. Wright - O. Okongwu,ATL,6,5,1,0.833,10.5,10.3,18.8,0.549,2.8,7.8,0.362,3.0,3.7,0.818,0.8,8.0,8.8,6.3,1.3,1.5,0.8,0.7,4.5,4.2,26.5,5.3,23,7,119,120,12,10,14,94,22,14,129,32,39,128,100,14,20,10,290,24,52,288,337,14,10,24
L. Stephenson - G. Dieng - B. Bogdanovic - S. Mays - J. Johnson,ATL,1,0,1,0.0,10.3,7.0,18.0,0.389,2.0,9.0,0.222,2.0,3.0,0.667,0.0,9.0,9.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,18.0,-2.0,123,204,119,204,13,20,15,192,29,7,176,56,47,152,148,12,16,15,204,36,109,1,305,27,22,240
L. Williams - C. Capela - W. Iwundu - C. Oliver - T. Young,ATL,1,1,0,1.0,10.1,10.0,20.0,0.5,3.0,8.0,0.375,3.0,3.0,1.0,2.0,4.0,6.0,4.0,1.0,0.0,1.0,2.0,6.0,3.0,26.0,-4.0,123,61,1,1,14,11,11,106,11,11,123,32,47,1,20,41,31,24,204,137,21,335,345,27,11,305
G. Dieng - S. Hill - D. Wright - K. Huerter - C. Reddish,ATL,2,1,1,0.5,9.8,6.5,19.0,0.342,2.5,8.0,0.313,1.0,1.5,0.667,2.5,11.5,14.0,5.0,2.0,1.0,1.5,0.5,2.5,2.5,16.5,2.5,76,61,119,142,16,26,13,211,26,11,153,131,125,152,15,6,7,15,300,36,14,269,302,52,31,68
J. Collins - K. Huerter - T. Young - D. Hunter - O. Okongwu,ATL,6,4,2,0.667,9.8,8.2,18.0,0.454,2.8,7.0,0.405,3.5,3.8,0.913,2.5,6.7,9.2,5.8,2.7,1.3,1.2,0.7,3.7,4.2,22.7,0.7,23,17,275,132,15,14,15,164,22,16,111,29,38,109,15,20,15,14,330,29,19,288,323,14,14,126
C. Capela - T. Young - C. Reddish - S. Mays - C. Brown Jr.,ATL,2,0,2,0.0,9.7,7.5,20.0,0.375,2.0,6.0,0.333,4.0,4.5,0.889,2.5,6.0,8.5,4.0,2.5,1.0,0.5,1.5,3.5,3.0,21.0,-9.0,76,204,275,204,17,19,11,197,29,19,131,17,23,111,15,22,22,24,325,36,63,332,322,27,16,342
L. Williams - C. Capela - W. Iwundu - T. Young - C. Brown Jr.,ATL,1,1,0,1.0,9.6,8.0,18.0,0.444,2.0,5.0,0.4,7.0,9.0,0.778,4.0,10.0,14.0,3.0,0.0,0.0,2.0,3.0,4.0,5.0,25.0,11.0,123,61,1,1,18,15,15,170,29,31,113,2,4,137,5,8,7,42,1,137,5,343,324,9,13,1
C. Capela - D. Wright - J. Collins - K. Huerter - D. Hunter,ATL,2,1,1,0.5,8.7,6.5,14.5,0.448,1.0,4.0,0.25,1.5,1.5,1.0,1.5,7.5,9.0,5.0,4.5,2.5,0.5,2.0,2.5,2.0,15.5,-3.0,76,61,119,142,19,26,22,166,61,44,165,104,125,1,49,15,16,15,341,4,63,335,302,55,33,276
L. Williams - D. Gallinari - D. Wright - K. Knox II - O. Okongwu,ATL,1,1,0,1.0,8.5,7.0,18.0,0.389,0.0,5.0,0.0,3.0,5.0,0.6,2.0,10.0,12.0,6.0,1.0,1.0,2.0,0.0,5.0,5.0,17.0,2.0,123,61,1,1,20,20,15,192,190,31,190,32,19,168,20,8,10,11,204,36,5,1,338,9,25,73
D. Gallinari - B. Bogdanovic - D. Wright - K. Huerter - O. Okongwu,ATL,5,2,3,0.4,7.7,6.8,15.2,0.447,2.8,6.2,0.452,3.0,3.6,0.833,3.2,5.4,8.6,4.6,1.8,1.6,0.6,1.0,4.0,3.6,19.4,3.6,29,35,313,175,21,24,21,168,24,18,100,32,40,123,10,30,21,22,298,23,59,293,324,25,19,43
