group_name,team_abbreviation,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank
C. Capela - W. Iwundu - T. Young,ATL,2,1,1,0.5,24.5,22.5,49.5,0.455,7.5,17.5,0.429,11.0,12.0,0.917,7.5,15.5,23.0,11.5,2.0,4.0,2.0,4.5,9.0,10.5,63.5,4.0,311,257,144,240,1,1,1,303,1,1,193,2,2,168,3,6,4,3,488,1,12,655,652,1,1,76
B. Bogdanovic - T. Young - C. Brown Jr.,ATL,1,0,1,0.0,23.8,21.0,48.0,0.438,6.0,16.0,0.375,5.0,5.0,1.0,7.0,19.0,26.0,11.0,6.0,2.0,3.0,3.0,6.0,5.0,53.0,-11.0,408,490,144,490,2,2,2,330,2,4,295,46,81,1,4,1,1,5,647,28,2,643,625,49,5,653
L. Williams - C. Capela - W. Iwundu,ATL,1,1,0,1.0,23.3,20.0,48.0,0.417,6.0,17.0,0.353,10.0,12.0,0.833,8.0,14.0,22.0,8.0,1.0,2.0,3.0,5.0,10.0,8.0,56.0,-1.0,408,257,1,1,4,4,2,385,2,2,345,3,2,270,1,13,5,24,257,28,2,656,656,7,3,386
L. Williams - W. Iwundu - T. Young,ATL,1,1,0,1.0,23.3,20.0,48.0,0.417,6.0,17.0,0.353,13.0,15.0,0.867,8.0,14.0,22.0,8.0,1.0,2.0,3.0,5.0,10.0,9.0,59.0,2.0,408,257,1,1,3,4,2,385,2,2,345,1,1,220,1,13,5,24,257,28,2,656,656,4,2,134
J. Collins - T. Young - D. Hunter,ATL,26,12,14,0.462,22.9,20.8,42.5,0.49,5.2,14.5,0.361,7.5,9.8,0.765,4.8,15.8,20.6,12.7,6.0,3.0,2.2,2.2,9.4,10.0,54.3,-0.6,18,27,639,353,5,3,5,237,8,5,328,15,10,366,13,5,9,1,655,2,10,641,655,2,4,372
C. Capela - T. Young - D. Hunter,ATL,24,12,12,0.5,21.6,20.0,40.2,0.497,5.2,13.3,0.39,7.1,9.4,0.752,4.7,15.3,20.0,11.4,5.7,3.0,1.9,2.2,8.6,9.4,52.3,0.5,24,27,623,240,6,4,8,222,9,8,262,17,11,372,14,7,12,4,646,3,33,642,651,3,6,248
T. Young - C. Reddish - C. Brown Jr.,ATL,2,0,2,0.0,20.8,16.5,42.5,0.388,5.0,13.5,0.37,7.5,8.0,0.938,6.0,16.0,22.0,8.5,6.0,2.0,2.0,3.0,6.0,6.5,45.5,-13.0,311,490,358,490,7,14,5,448,12,7,308,15,17,159,5,4,5,19,647,28,12,643,625,18,12,654
C. Capela - J. Collins - T. Young,ATL,40,21,19,0.525,20.3,19.3,38.7,0.499,5.1,13.2,0.389,6.2,8.6,0.725,4.9,15.2,20.1,11.6,5.3,3.0,2.0,2.0,8.0,8.2,49.9,2.9,4,2,652,232,8,7,11,220,11,9,264,23,15,413,12,8,11,2,644,7,11,639,648,6,7,109
B. Bogdanovic - J. Collins - T. Young,ATL,32,16,16,0.5,20.2,18.1,37.5,0.483,4.8,13.2,0.368,6.8,8.7,0.78,4.1,14.6,18.7,10.7,4.9,2.8,1.6,2.0,7.3,8.6,47.8,1.6,10,12,649,240,9,10,12,248,18,10,313,20,14,350,17,11,13,7,636,8,43,640,645,5,10,169
C. Capela - C. Reddish - C. Brown Jr.,ATL,2,0,2,0.0,20.0,15.5,41.5,0.373,4.5,13.0,0.346,6.5,7.0,0.929,6.0,15.0,21.0,8.0,6.0,2.0,2.0,3.0,6.0,5.5,42.0,-15.0,311,490,358,490,10,20,7,473,21,11,357,21,32,164,5,9,8,24,647,28,12,643,625,44,16,657
J. Collins - K. Huerter - T. Young,ATL,44,21,23,0.477,19.6,18.0,36.8,0.49,5.2,13.7,0.376,6.5,8.2,0.787,4.0,14.2,18.2,10.9,5.0,2.6,2.2,1.9,7.7,7.8,47.7,1.9,1,2,656,346,11,11,14,238,10,6,291,22,16,344,20,12,14,6,637,11,9,614,647,11,11,156
B. Bogdanovic - C. Reddish - C. Brown Jr.,ATL,1,0,1,0.0,19.1,16.0,39.0,0.41,5.0,13.0,0.385,5.0,5.0,1.0,6.0,18.0,24.0,8.0,6.0,2.0,3.0,3.0,4.0,5.0,42.0,-6.0,408,490,144,490,12,16,9,399,12,11,270,46,81,1,5,2,2,24,647,28,2,643,573,49,16,618
C. Capela - B. Bogdanovic - C. Brown Jr.,ATL,1,0,1,0.0,19.1,16.0,39.0,0.41,5.0,13.0,0.385,5.0,5.0,1.0,6.0,18.0,24.0,8.0,6.0,2.0,3.0,3.0,4.0,5.0,42.0,-6.0,408,490,144,490,12,16,9,399,12,11,270,46,81,1,5,2,2,24,647,28,2,643,573,49,16,618
C. Capela - J. Collins - D. Hunter,ATL,22,10,12,0.455,19.0,17.8,35.5,0.502,4.0,10.9,0.368,5.4,7.6,0.708,4.1,13.9,18.0,10.6,5.4,2.7,1.6,1.8,7.4,7.9,45.0,-0.2,35,49,623,356,14,12,15,166,32,29,312,41,26,418,16,15,15,8,645,10,42,612,646,10,13,344
C. Capela - T. Young - C. Brown Jr.,ATL,3,1,2,0.333,18.8,15.0,37.3,0.402,4.7,12.3,0.378,7.7,8.7,0.885,5.3,15.0,20.3,7.3,4.3,1.7,2.3,3.3,6.3,6.7,42.3,-6.0,249,257,358,405,15,22,13,412,20,18,286,14,13,202,9,9,10,34,629,64,8,654,632,17,15,618
C. Capela - K. Huerter - T. Young,ATL,42,22,20,0.524,17.7,17.0,34.1,0.499,5.0,12.8,0.389,5.8,7.6,0.763,4.0,12.9,16.9,10.0,4.4,2.7,1.7,1.8,7.3,7.1,44.8,2.6,3,1,655,233,16,13,16,219,17,16,263,35,27,368,19,17,18,9,632,9,36,613,644,13,14,118
B. Bogdanovic - T. Young - D. Hunter,ATL,23,9,14,0.391,17.3,15.1,32.2,0.468,4.0,10.7,0.38,5.7,7.1,0.805,3.8,11.6,15.4,8.7,4.3,2.4,1.4,1.9,6.7,7.3,40.0,-1.8,28,62,639,387,17,21,19,273,31,31,284,36,31,309,31,24,24,18,628,17,61,615,635,12,23,455
C. Capela - B. Bogdanovic - J. Collins,ATL,27,14,13,0.519,16.8,16.0,31.7,0.506,4.1,10.4,0.395,4.4,6.2,0.708,3.8,12.7,16.5,9.4,4.2,2.3,1.5,1.7,6.1,6.4,40.6,2.8,17,17,632,238,18,15,22,164,28,32,255,68,47,418,32,18,19,13,626,19,47,599,629,20,19,112
