group_name,pts,ast,reb,player1,player2
J. Collins - T. Young,66.8,15.1,25.8,J. Collins,T. Young
T. Young - D. Hunter,64.3,14.0,23.9,T. Young,D. Hunter
C. Capela - T. Young,61.1,13.3,23.9,C. Capela,T. Young
C. Capela - W. Iwundu,65.0,12.0,23.0,C. Capela,W. Iwundu
B. Bogdanovic - C. Brown Jr.,53.0,11.0,26.0,B. Bogdanovic,C. Brown Jr.
B. Bogdanovic - T. Young,56.4,12.1,21.7,B. Bogdanovic,T. Young
J. Collins - D. Hunter,54.8,13.0,21.1,J. Collins,D. Hunter
T. Young - C. Brown Jr.,53.3,10.3,23.7,T. Young,C. Brown Jr.
K. Huerter - T. Young,57.3,12.6,20.8,K. Huerter,T. Young
C. Capela - D. Hunter,52.2,11.6,20.2,C. Capela,D. Hunter
C. Capela - J. Collins,50.5,11.8,20.7,C. Capela,J. Collins
J. Collins - K. Huerter,49.9,11.6,19.5,J. Collins,K. Huerter
B. Bogdanovic - J. Collins,47.4,10.7,19.0,B. Bogdanovic,J. Collins
C. Capela - C. Brown Jr.,43.3,7.7,20.3,C. Capela,C. Brown Jr.
B. Bogdanovic - D. Hunter,43.3,9.5,16.7,B. Bogdanovic,D. Hunter
C. Capela - K. Huerter,47.0,10.5,18.0,C. Capela,K. Huerter
B. Bogdanovic - W. Iwundu,28.0,3.0,15.0,B. Bogdanovic,W. Iwundu
C. Capela - B. Bogdanovic,40.2,9.0,16.3,C. Capela,B. Bogdanovic
C. Capela - C. Oliver,48.0,10.0,12.0,C. Capela,C. Oliver
B. Bogdanovic - O. Okongwu,40.1,8.3,15.4,B. Bogdanovic,O. Okongwu
K. Huerter - D. Hunter,39.8,9.3,14.4,K. Huerter,D. Hunter
T. Young - S. Mays,41.8,9.3,12.8,T. Young,S. Mays
D. Gallinari - C. Reddish,34.6,6.7,14.5,D. Gallinari,C. Reddish
B. Bogdanovic - M. Hill,40.0,8.0,9.0,B. Bogdanovic,M. Hill
C. Capela - T. Luwawu-Cabarrot,34.8,7.5,15.1,C. Capela,T. Luwawu-Cabarrot
